Cluster,R_GC,Mass,rc,"rh,m",[Fe/H],logM,rc/rh,logM_norm,rc/rh_norm,fname,tcount,t
NGC_5986,4.85,334000.0,1.17,4.25,-1.59,5.523746466811565,0.2752941176470588,1.913626074461385,3.232039260159536,N8e5_rv1_rg2_Z0.0002.tar.gz,687161,10000.14379
NGC_6093,3.95,338000.0,0.41,2.62,-1.75,5.528916700277655,0.1564885496183206,1.9218967583221074,1.5502475117920664,N1.6e6_rv2_rg2_Z0.0002.tar.gz,1083004,13499.977600186
NGC_6139,3.51,323000.0,0.27,2.47,-1.65,5.509202522331103,0.10931174089068826,1.8903605164020219,0.8824204987243762,N1.6e6_rv4_rg2_Z0.0002.tar.gz,618415,11555.550734481
NGC_6144,2.5,79200.0,1.62,4.91,-1.76,4.898725181589493,0.329938900203666,0.9137962814360473,4.005581661579699,N8e5_rv2_rg2_Z0.0002.tar.gz,615138,13499.63691609
NGC_6254,4.35,205000.0,1.05,4.81,-1.56,5.311753861055754,0.21829521829521834,1.5745071865975495,2.42517237515996,N8e5_rv1_rg2_Z0.0002.tar.gz,692585,11555.520962414
NGC_6273,1.43,697000.0,1.01,4.21,-1.74,5.84323277809801,0.23990498812351543,2.4246997611350483,2.731076662175862,N1.6e6_rv1_rg2_Z0.0002.tar.gz,1448903,12333.335400595999
NGC_6287,1.57,145000.0,0.21,3.65,-2.1,5.161368002234975,0.057534246575342465,1.3339389601166005,0.14946695003524105,N1.6e6_rv4_rg2_Z0.0002.tar.gz,680158,13499.951701832999
NGC_6293,1.6,205000.0,0.13,4.05,-1.99,5.311753861055754,0.03209876543209877,1.5745071865975495,-0.21059346642702556,N1.6e6_rv4_rg2_Z0.0002.tar.gz,680158,13499.951701832999
NGC_6333,1.73,323000.0,0.91,4.17,-1.77,5.509202522331103,0.2182254196642686,1.8903605164020219,2.424184317415476,N1.6e6_rv1_rg2_Z0.0002.tar.gz,1448903,12333.335400595999
Djor_1,1.82,79700.0,0.97,5.57,-1.51,4.901458321396112,0.1741472172351885,0.918168411908676,1.800220656805173,N4e5_rv2_rg2_Z0.0002.tar.gz,309984,10000.023003343
NGC_6535,4.04,21900.0,0.08,3.65,-1.79,4.3404441148401185,0.021917808219178082,0.020729026583009874,-0.35471339376099137,N4e5_rv2_rg2_Z0.0002.tar.gz,355479,13499.994058632
NGC_6541,2.19,293000.0,0.09,4.34,-1.81,5.466867620354109,0.020737327188940093,1.822638508716529,-0.3714240857655811,N1.6e6_rv4_rg2_Z0.0002.tar.gz,666722,13111.114697064
NGC_6681,2.29,116000.0,0.07,2.89,-1.62,5.064457989226918,0.02422145328719723,1.178914610484248,-0.3221033795095981,N8e5_rv0.5_rg2_Z0.0002.tar.gz,1035078,11944.448151471
NGC_6749,4.94,211000.0,1.44,7.09,-1.6,5.324282455297693,0.20310296191819463,1.594548842912287,2.2101133351006497,N8e5_rv2_rg2_Z0.0002.tar.gz,575852,10000.008014295
NGC_6809,4.01,193000.0,2.9,6.95,-1.94,5.285557309007774,0.41726618705035967,1.5326012646211427,5.241772126916834,N8e5_rv2_rg2_Z0.0002.tar.gz,611427,13111.120995764997
Lynga_7,4.35,79600.0,2.16,5.16,-0.67,4.900913067737669,0.4186046511627907,0.9172961842496227,5.260719201007064,N8e5_rv2_rg2_Z0.002.tar.gz,570244,12722.232546975
Ter_3,2.46,40400.0,2.93,7.19,-0.74,4.606381365110605,0.40751043115438107,0.44614171601037206,5.103671278301932,N8e5_rv2_rg2_Z0.002.tar.gz,570244,12722.232546975
NGC_6171,3.74,74900.0,0.83,3.94,-1.02,4.874481817699467,0.21065989847715735,0.8750148221905574,2.3170880649780043,N4e5_rv2_rg2_Z0.002.tar.gz,323770,12334.135484715
ESO_452-SC11,2.12,8260.0,0.73,3.68,-1.5,3.9169800473203824,0.1983695652173913,-0.656675089072817,2.143108163160937,N4e5_rv2_rg2_Z0.002.tar.gz,324435,12722.311719791001
NGC_6218,4.57,107000.0,1.21,4.05,-1.37,5.02938377768521,0.29876543209876544,1.1228073346275333,3.5642952614832275,N8e5_rv2_rg2_Z0.002.tar.gz,555107,11555.484176895
NGC_6235,4.42,107000.0,1.2,4.78,-1.28,5.02938377768521,0.2510460251046025,1.1228073346275333,2.888787318115125,N8e5_rv1_rg2_Z0.002.tar.gz,652764,11555.583671788
NGC_6256,1.94,125000.0,0.04,4.82,-1.02,5.096910013008056,0.008298755186721992,1.2308272428817517,-0.5475024304248556,N8e5_rv0.5_rg2_Z0.002.tar.gz,901176,13111.125407721001
NGC_6266,2.15,610000.0,0.39,2.43,-1.18,5.785329835010767,0.16049382716049382,2.3320739754677553,1.606945550714948,N1.6e6_rv2_rg2_Z0.002.tar.gz,1033081,12722.197248916
NGC_6325,1.28,58900.0,0.31,2.05,-1.25,4.770115294787102,0.15121951219512197,0.7080624935747912,1.4756598993829297,N4e5_rv2_rg2_Z0.002.tar.gz,325436,13111.236548239001
NGC_6342,1.54,42200.0,0.34,2.06,-0.55,4.625312450961674,0.1650485436893204,0.47642526650016814,1.6714213560280504,N4e5_rv2_rg2_Z0.002.tar.gz,325436,13111.236548239001
NGC_6352,3.51,64700.0,1.12,4.56,-0.64,4.810904280668701,0.24561403508771934,0.7733115407287969,2.8118929760469253,N4e5_rv2_rg2_Z0.002.tar.gz,318462,11555.523601124001
NGC_6355,0.93,101000.0,0.21,3.55,-1.37,5.004321373782642,0.059154929577464786,1.082715679032607,0.17240906752109342,N4e5_rv1_rg2_Z0.002.tar.gz,364260,10000.298343648
Ter_2,0.74,136000.0,0.42,4.16,-0.69,5.133538908370218,0.10096153846153845,1.2894215047646647,0.7642164298785021,N8e5_rv2_rg2_Z0.002.tar.gz,577983,13499.979793229999
HP_1,1.26,124000.0,1.26,3.74,-1.0,5.093421685162235,0.3368983957219251,1.2252470583495514,4.104099116019016,N8e5_rv2_rg2_Z0.002.tar.gz,551417,11166.620527394998
NGC_6380,2.15,334000.0,1.12,4.4,-0.75,5.523746466811565,0.2545454545454546,1.913626074461385,2.9383246559290868,N8e5_rv1_rg2_Z0.002.tar.gz,652764,11555.583671788
Ter_1,2.52,150000.0,0.32,2.15,-1.03,5.176091259055681,0.14883720930232558,1.3574913593192535,1.4419364181211107,N8e5_rv2_rg2_Z0.002.tar.gz,577983,13499.979793229999
Ton_2,1.76,69100.0,1.16,4.6,-0.7,4.8394780473741985,0.25217391304347825,0.8190202292592391,2.904753511115655,N4e5_rv2_rg2_Z0.002.tar.gz,315379,11166.762785683
NGC_6388,3.99,1250000.0,0.42,4.34,-0.55,6.096910013008056,0.0967741935483871,2.8305004326837544,0.7049410757065244,N1.6e6_rv2_rg2_Z0.002.tar.gz,935027,10000.01236583
NGC_6401,0.75,145000.0,0.53,3.28,-1.02,5.161368002234975,0.16158536585365854,1.3339389601166005,1.6223971898733434,N8e5_rv2_rg2_Z0.002.tar.gz,577983,13499.979793229999
NGC_6402,3.97,592000.0,2.16,5.14,-1.28,5.77232170672292,0.4202334630350195,2.311265221396181,5.283776389418425,N8e5_rv2_rg2_Z0.002.tar.gz,570244,12722.232546975
Pal_6,1.19,94500.0,0.95,2.89,-0.91,4.975431808509263,0.328719723183391,1.0365018159997466,3.988323195612836,N4e5_rv2_rg2_Z0.002.tar.gz,310177,10000.568336263
Ter_6,0.97,104000.0,0.31,1.33,-0.56,5.017033339298781,0.23308270676691728,1.1030506694584612,2.634501588457157,N8e5_rv1_rg2_Z0.002.tar.gz,673621,13499.2410865
NGC_6453,2.1,165000.0,0.1,3.85,-1.5,5.217483944213907,0.025974025974025976,1.423706128020782,-0.29729425370827356,N8e5_rv0.5_rg2_Z0.002.tar.gz,862846,11944.436021397001
Ter_9,2.46,120000.0,0.25,1.9,-1.05,5.079181246047625,0.13157894736842105,1.2024670096869026,1.19763134898004,N8e5_rv2_rg2_Z0.002.tar.gz,577983,13499.979793229999
Djor_2,0.8,125000.0,1.19,5.16,-0.65,5.096910013008056,0.23062015503875968,1.2308272428817517,2.5996421181052143,N8e5_rv1_rg2_Z0.002.tar.gz,673621,13499.2410865
NGC_6517,3.24,195000.0,0.13,2.29,-1.23,5.290034611362518,0.056768558951965066,1.5397634851606647,0.13862800411553702,N1.6e6_rv4_rg2_Z0.002.tar.gz,615294,12722.230661040001
Ter_10,2.17,302000.0,0.26,4.6,-1.0,5.480006942957151,0.05652173913043479,1.8436571308167746,0.13513406400758904,N1.6e6_rv4_rg2_Z0.002.tar.gz,575745,11166.639880634999
NGC_6522,1.04,211000.0,0.42,3.08,-1.34,5.324282455297693,0.13636363636363635,1.594548842912287,1.2653626060597694,N8e5_rv2_rg2_Z0.002.tar.gz,577983,13499.979793229999
NGC_6539,3.09,209000.0,1.52,5.18,-0.63,5.320146286111054,0.29343629343629346,1.5879323239559355,3.4888568659840917,N8e5_rv1_rg2_Z0.002.tar.gz,645511,10777.795684551998
NGC_6540,2.34,34500.0,0.06,5.32,-1.35,4.537819095073274,0.011278195488721804,0.33646449079968965,-0.5053259718817282,N4e5_rv1_rg2_Z0.002.tar.gz,455444,13499.971626816003
2MASS-GC02,2.91,15800.0,0.63,2.85,-1.08,4.198657086954423,0.22105263157894736,-0.206083880587446,2.46420585637098,N4e5_rv2_rg2_Z0.002.tar.gz,323770,12334.135484715
NGC_6558,1.08,26500.0,0.17,1.7,-1.32,4.423245873936808,0.1,0.15318478067842803,0.7506050522538259,N4e5_rv2_rg2_Z0.002.tar.gz,327141,13499.886644572003
IC_1276,4.34,73900.0,1.18,5.21,-0.75,4.868644438394826,0.22648752399232244,0.8656769230182186,2.5411412842784347,N4e5_rv2_rg2_Z0.002.tar.gz,323770,12334.135484715
NGC_6569,2.59,236000.0,1.1,3.85,-0.76,5.372912002970106,0.28571428571428575,1.6723402265560448,3.379545416334181,N8e5_rv1_rg2_Z0.002.tar.gz,648677,11166.689106352
BH_261,2.2,22000.0,0.34,4.66,-1.3,4.342422680822207,0.07296137339055794,0.02389408553881051,0.36785077673073696,N4e5_rv2_rg2_Z0.002.tar.gz,327141,13499.886644572003
NGC_6626,3.02,299000.0,0.29,2.26,-1.32,5.47567118832443,0.12831858407079647,1.836721340373251,1.1514781915009324,N1.6e6_rv0.5_rg2_Z0.002.tar.gz,1663529,11944.44941592
NGC_6637,1.71,155000.0,0.85,3.69,-0.64,5.190331698170292,0.23035230352303523,1.3802714079819036,2.595850456852232,N8e5_rv1_rg2_Z0.002.tar.gz,673621,13499.2410865
NGC_6638,2.3,118000.0,0.46,2.2,-0.95,5.071882007306125,0.20909090909090908,1.1907906131661607,2.2948777136716565,N8e5_rv2_rg2_Z0.002.tar.gz,538973,10388.908862729999
NGC_6642,1.66,34400.0,0.17,1.51,-1.26,4.53655844257153,0.11258278145695365,0.3344478587909922,0.9287248018323725,N4e5_rv2_rg2_Z0.002.tar.gz,327141,13499.886644572003
