fname,tcount,t,M,r_h,rc_spitzer,N,rv,rg,Z,[Fe/H],logM,rc/rh,logM_norm,rc/rh_norm
N1.6e6_rv0.5_rg2_Z0.02.tar.gz,1491413,13499.952632879998,371813.04210063996,3.9065957,0.05914937,1600000,0.5,2.0,0.02,0.0,5.570324619467614,0.015140898762572231,1.988135896495773,-0.45064619045277815
N1.6e6_rv0.5_rg8_Z0.002.tar.gz,1631851,10000.004059320001,460504.17139776,3.7427199,0.61800255,1600000,0.5,8.0,0.002,-1.0,5.663233568532485,0.16512123977003998,2.1367598514075263,1.672450429586819
N1.6e6_rv0.5_rg8_Z0.002.tar.gz,1640215,10388.883401448,458336.53208616,3.77605375,0.7063507499999999,1600000,0.5,8.0,0.002,-1.0,5.661184474419391,0.18706056554412126,2.133481970491429,1.9830198554463077
N1.6e6_rv0.5_rg8_Z0.002.tar.gz,1645573,10777.792815624,456177.66502784,3.8112548500000005,0.68079595,1600000,0.5,8.0,0.002,-1.0,5.659134017914284,0.17862776875180622,2.130201910193354,1.8636465946110534
N1.6e6_rv0.5_rg8_Z0.002.tar.gz,1652238,11166.620858376,454110.08180426,3.83791345,0.7130828499999999,1600000,0.5,8.0,0.002,-1.0,5.657161143881486,0.18579961723732982,2.12704595649623,1.9651700821346156
N1.6e6_rv0.5_rg8_Z0.002.tar.gz,1660540,11555.692130928,452000.58778209996,3.8669599000000003,0.6763554,1600000,0.5,8.0,0.002,-1.0,5.655138999568808,0.1749062357745163,2.123811186453329,1.810965196286611
N1.6e6_rv0.5_rg8_Z0.002.tar.gz,1668054,11944.454722752,449953.84836388,3.9014383,0.5705177499999999,1600000,0.5,8.0,0.002,-1.0,5.653167970600265,0.14623267270432033,2.1206581842560275,1.4050670337014617
N1.6e6_rv0.5_rg8_Z0.002.tar.gz,1675129,12333.418974191998,447920.40317905997,3.93103395,0.6228139,1600000,0.5,8.0,0.002,-1.0,5.651200845401292,0.15843513638441103,2.117511426814247,1.577803068446619
N1.6e6_rv0.5_rg8_Z0.002.tar.gz,1681426,12722.193064152,445929.9750283,3.95775605,0.5587502,1600000,0.5,8.0,0.002,-1.0,5.6492666662313,0.14117853474066447,2.114417372251737,1.3335215020953075
N1.6e6_rv0.5_rg8_Z0.002.tar.gz,1687615,13111.091864664,443939.82828832004,3.9883309500000004,0.50500815,1600000,0.5,8.0,0.002,-1.0,5.647324109724407,0.12662142543612132,2.111309916687984,1.127453497752767
N1.6e6_rv0.5_rg8_Z0.002.tar.gz,1697407,13499.943788159999,441906.75184866,4.0252909,0.525031,1600000,0.5,8.0,0.002,-1.0,5.645330637154542,0.13043305764559776,2.108121012063366,1.1814103257371131
N1.6e6_rv0.5_rg8_Z0.02.tar.gz,1256405,10000.006712736,475445.87083826005,3.61226685,0.126463355,1600000,0.5,8.0,0.02,0.0,5.677101079981346,0.035009416593904184,2.158943337681542,-0.1693907754461075
N1.6e6_rv0.5_rg8_Z0.02.tar.gz,1273665,10388.892246168001,471622.80835376,3.70508465,0.108216895,1600000,0.5,8.0,0.02,0.0,5.673594800033426,0.029207671409072933,2.1533344356529134,-0.25151930982270904
N1.6e6_rv0.5_rg8_Z0.02.tar.gz,1289320,10777.768050408,467779.61044276,3.79411955,0.07267719,1600000,0.5,8.0,0.02,0.0,5.670041287876764,0.01915521876478563,2.147649977526265,-0.39382014797810316
N1.6e6_rv0.5_rg8_Z0.02.tar.gz,1315588,11166.709305576,463871.83360966,3.8855739500000004,0.099410065,1600000,0.5,8.0,0.02,0.0,5.666398002871697,0.025584396611471,2.141821912180852,-0.3028097817911672
N1.6e6_rv0.5_rg8_Z0.02.tar.gz,1326645,11555.5603446,460115.12584632,3.9754527499999996,0.05984018,1600000,0.5,8.0,0.02,0.0,5.662866510516728,0.015052418872290712,2.1361726785406177,-0.4518986969795424
N1.6e6_rv0.5_rg8_Z0.02.tar.gz,1345889,11944.454722752,456327.47260100004,4.0846177,0.07974328,1600000,0.5,8.0,0.02,0.0,5.659276615693238,0.0195228258448765,2.130430020037272,-0.3886163636420968
N1.6e6_rv0.5_rg8_Z0.02.tar.gz,1360602,12333.332295936,453064.68927565997,4.160888,0.07233246,1600000,0.5,8.0,0.02,0.0,5.6561602156766195,0.01738389978293095,2.125444798481989,-0.41889464319611575
N1.6e6_rv0.5_rg8_Z0.02.tar.gz,1369733,12722.217829368,450028.75215046003,4.23665305,0.05929397,1600000,0.5,8.0,0.02,0.0,5.653240261556205,0.013995474564526825,2.1207738261601103,-0.46686062380481785
N1.6e6_rv0.5_rg8_Z0.02.tar.gz,1383384,13111.104247272002,446763.83398472,4.3268789000000005,0.051504195,1600000,0.5,8.0,0.02,0.0,5.650078009258727,0.011903313263516572,2.115715255940444,-0.49647690922539406
N1.6e6_rv0.5_rg8_Z0.02.tar.gz,1392857,13499.951748408002,443959.41059708,4.3940345999999995,0.07515744,1600000,0.5,8.0,0.02,0.0,5.647343266151772,0.01710442607802861,2.1113405607112528,-0.4228508262150526
N1.6e6_rv1_rg20_Z0.0002.tar.gz,1379336,10000.002595688,501394.52597038,5.6556441,0.25962988,1600000,1.0,20.0,0.0002,-2.0,5.700179588190536,0.045906332755273616,2.195861408524408,-0.015135852996595523
N1.6e6_rv1_rg20_Z0.0002.tar.gz,1398525,10388.885392522001,499770.40732080006,5.6914492999999995,0.91665467,1600000,1.0,20.0,0.0002,-2.0,5.698770536868919,0.16105821587482122,2.193607386902162,1.6149349429494766
N1.6e6_rv1_rg20_Z0.0002.tar.gz,1413267,10777.757682384003,498212.52694654005,5.7355446,1.0328793,1600000,1.0,20.0,0.0002,-2.0,5.697414643143003,0.1800839104276166,2.191438400060594,1.8842594926045169
N1.6e6_rv1_rg20_Z0.0002.tar.gz,1427073,11166.666996814,496747.10456924007,5.7723602,0.81009464,1600000,1.0,20.0,0.0002,-2.0,5.696135344381216,0.14034027883429728,2.1893919401296165,1.3216552917001212
